#CNPJ_IF;NOME_IF;SEGMENTO_IF
09033698;CCLA DE RIO VERDE E REGIÃO;COOPERATIVA DE CRÉDITO
09051765;CCR INT SOL DE PORTO LUCENA;COOPERATIVA DE CRÉDITO
09280638;CCR INT SOL DO ALTO VALE;COOPERATIVA DE CRÉDITO
09330158;COOP CRESOL TREZE DE MAIO;COOPERATIVA DE CRÉDITO
09377504;CCR INT SOL DE PONTE ALTA;COOPERATIVA DE CRÉDITO
09403026;CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE;COOPERATIVA DE CRÉDITO
09424988;CCLA DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;COOPERATIVA DE CRÉDITO
09433005;COOP CRESOL VALE DO CONTESTADO;COOPERATIVA DE CRÉDITO
09463721;COOP CRESOL JACINTO MACHADO;COOPERATIVA DE CRÉDITO
09476168;CCR INT SOL SERRANA;COOPERATIVA DE CRÉDITO
09488496;COOP CRESOL SAO JOAO DO SUL;COOPERATIVA DE CRÉDITO
09552111;CC JUST GOIAS E CELG;COOPERATIVA DE CRÉDITO
09576849;CCLA CERES E RIALMA LTDA;COOPERATIVA DE CRÉDITO
10013534;COOPCENTRAL CENTRAL CRESOL NORDESTE;COOPERATIVA DE CRÉDITO
10143499;CCLA JATAÍ E REGIÃO;COOPERATIVA DE CRÉDITO
10175348;CCMLA REGIÃO ADMINISTRATIVA DE SOROCABA;COOPERATIVA DE CRÉDITO
10209619;CCLA DA GRANDE GOIÂNIA LTDA.;COOPERATIVA DE CRÉDITO
10262276;CCLA DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;COOPERATIVA DE CRÉDITO
10319386;CCLA DO CENTRO SUL DE MS;COOPERATIVA DE CRÉDITO
10348181;COOP SICREDI VALE LITORAL SC;COOPERATIVA DE CRÉDITO
10453077;COOP CRESOL REALIZA;COOPERATIVA DE CRÉDITO
10512171;CCR INT SOL RIO BRANCO DO SUL;COOPERATIVA DE CRÉDITO
10514580;CCR INTERAÇÃO SOLIDÁRIA JARU;COOPERATIVA DE CRÉDITO
10514648;CRESOL ANDREAZZA;COOPERATIVA DE CRÉDITO
10520232;COOP CRESOL AMAZONIA;COOPERATIVA DE CRÉDITO
10663610;AF DESENVOLVE SP S.A.;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
10736214;COOP SICREDI PLAN CENTRAL;COOPERATIVA DE CRÉDITO
10772401;CC POUP INV VERDE PARÁ - SICREDI VERDE PARÁ;COOPERATIVA DE CRÉDITO
11212010;CCR INT SOL DE MARILENA;COOPERATIVA DE CRÉDITO
11239236;CCR INT SOL DE IBAITI;COOPERATIVA DE CRÉDITO
11282942;CCR INT SOL DE TAMBOARA;COOPERATIVA DE CRÉDITO
11300087;CCR INT SOL DA QUARTA COLONIA;COOPERATIVA DE CRÉDITO
11346312;CCR INT SOL DE PARANACITY;COOPERATIVA DE CRÉDITO
11369294;CCR INT SOL DE NOVA ESPERANÇA;COOPERATIVA DE CRÉDITO
11453724;CCR INT SOL NOROESTE;COOPERATIVA DE CRÉDITO
11565109;CCLA SICOOB ECOCREDI;COOPERATIVA DE CRÉDITO
11610996;CCLA DE COLORADO E REGIÃO;COOPERATIVA DE CRÉDITO
11907520;CCLA DA PARAÍBA - SICOOB PARAÍBA;COOPERATIVA DE CRÉDITO
11969853;COOP CRESOL CONEXÃO;COOPERATIVA DE CRÉDITO
13009717;BCO DO EST. DE SE S.A.;BANCO PÚBLICO
13059232;CCR INT SOL SÃO JOÃO ITAPERIÚ;COOPERATIVA DE CRÉDITO
14046512;CCLA MARGEM ESQUERDA DO URUCUI;COOPERATIVA DE CRÉDITO
14388334;PARANA BCO S.A.;BANCO PRIVADO
15114366;BCO BOCOM BBM S.A.;BANCO PRIVADO
15163587;DESENBAHIA AG FOMENTO BAHIA SA;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
17184037;BCO MERCANTIL DO BRASIL S.A.;BANCO PRIVADO
17298092;BCO ITAÚ BBA S.A.;BANCO PRIVADO
17343510;COOP CRESOL RAIZ;COOPERATIVA DE CRÉDITO
