#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0163","PCA - Programa para Construção e Ampliação de Armazéns",3.50,"01/07/2013","30/06/2014"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (FTRA)",4.00,"01/07/2020",
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (FTRA)",2.50,"03/01/2020","30/06/2020"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (FTRA)",2.00,"01/04/2013","02/01/2020"
"0201","PROGRAMA NACIONAL DE CRÉDITO FUNDIÁRIO (FTRA)",2.00,"01/01/2013","30/03/2013"
"0735","Linha de Crédito Rural instituida pela Res. 4.126/2012 (Produtores de Maçã) ENCERRADO",2.50,"01/01/2013","17/11/2022"
"0785","Linha Crédito Rural inst  Res. 4.220/2013 (Recursos BNDES-Estiagem Área da Sudene) ENCERRADO",5.50,"02/05/2013","18/11/2022"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO",65.00,"13/04/2017","07/11/2022"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO",65.00,"01/07/2015","30/06/2016"
"0164","PRORENOVA-IND- PROG APOIO RENOV IMPLANT NOVOS CANAVIAIS - ENCERRADO",5.50,"18/06/2013","30/06/2015"
"0165","PROAQÜICULTURA-PROG APOIO DESENVSETOR AQUÍCOLA - ENCERRADO",5.50,"01/01/2013","07/11/2022"
"0888","Outras Linhas de Crédito Rural não Especificadas - ENCERRADO",8.50,"01/01/2014","18/11/2022"
"0786","Linha de Crédito Rural Instituída pela Res. 4.289/2013 (Renegociação Café Arábica) ENCERRADO",6.50,"25/11/2013","18/11/2022"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",11.00,"01/07/2022",
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",7.00,"01/07/2021","30/06/2022"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.75,"28/08/2020","30/06/2021"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",7.50,"03/07/2020","27/08/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.00,"01/07/2020","02/07/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",9.50,"01/07/2018","30/06/2020"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",5.50,"01/07/2012","30/06/2013"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",11.25,"01/07/2016","30/06/2018"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",10.50,"01/07/2015","30/06/2016"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",7.50,"01/07/2014","30/06/2015"
"0070","FUNCAFÉ (PROGRAMA DE DEFESA DA ECONOMIA CAFEEIRA)",6.50,"01/07/2013","30/06/2014"
"0999","FINANCIAMENTO SEM VÍNCULO A PROGRAMA ESPECÍFICO",100.00,"02/07/2012","31/12/2099"
"0180","FNO-ABC (PROG FINANC AGRICULTURA BAIXO CARBONO) ENCERRADO",8.83,"01/01/2015","07/11/2022"
"0222","RenovAgro - Programa de Financiamento a Sistemas de Produção Agropecuária Sustentáveis",8.50,"01/07/2023","31/12/2099"
